Angulorad,Xm,Ym,dxm,dym,dangulorad,Mkg,mckg,deltaMkg,deltamckg,normalN,roceN,DnormalN,DroceN
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.4988,1.8865,0.00005,0.00005,18.37078377,2.81521117,0.000117869,0.009669322
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.2089,0.9309,0.00005,0.00005,9.06512728,1.023904353,0.000117869,0.004550798
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.2998,1.1771,0.00005,0.00005,11.46262898,1.644439213,0.000117869,0.00586953
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.434,1.5349,0.00005,0.00005,14.94689426,2.566817481,0.000117869,0.007786031
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.4482,1.7321,0.00005,0.00005,16.86723274,2.488899805,0.000117869,0.008842302
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.2995,1.2349,0.00005,0.00005,12.02548682,1.577828377,0.000117869,0.006179127
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.2191,1.0378,0.00005,0.00005,10.10612213,1.006213901,0.000117869,0.005123391
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.2999,1.2334,0.00005,0.00005,12.01087978,1.583404657,0.000117869,0.006171092
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.1005,0.539,0.00005,0.00005,5.248795364,0.392185906,0.000117869,0.002451646
0.112522686,1,0.113,0.0005,0.0005,0.000549484,0.1997,0.7852,0.00005,0.00005,7.646297068,1.094143766,0.000117869,0.003770378
0.122385281,1,0.123,0.0005,0.0005,0.000553132,0.2959,1.0784,0.00005,0.00005,10.48927176,1.611282063,0.000175602,0.005377249
0.122385281,1,0.123,0.0005,0.0005,0.000553132,0.3552,1.2792,0.00005,0.00005,12.44239284,1.952536034,0.000175602,0.006458685
0.122385281,1,0.123,0.0005,0.0005,0.000553132,0.2581,0.931,0.00005,0.00005,9.055556389,1.416990999,0.000175602,0.004583406
0.122385281,1,0.123,0.0005,0.0005,0.000553132,0.2192,0.7338,0.00005,0.00005,7.137451427,1.271549652,0.000175602,0.003521359
0.122385281,1,0.123,0.0005,0.0005,0.000553132,0.196,0.729,0.00005,0.00005,7.090763274,1.049706154,0.000175602,0.003495508
